,City,Population,Area,Latitude,Longitude,State,Population Share Age <40,Venues,Venues per Population,Venues per Area,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
0,Berlin,3644826,891.68,52.5170365,13.3888599,Berlin,45.300000000000004,100.0,2.743615,0.112148,Coffee Shop,Bookstore,Park,Ice Cream Shop,Monument / Landmark
1,Hamburg,1841179,755.22,53.5437641,10.0099133,Hamburg,47.1,100.0,5.431302,0.132412,Hotel,Café,Coffee Shop,Seafood Restaurant,Vietnamese Restaurant
2,Muenchen,1471508,310.7,48.1371079,11.5753822,Bayern,43.900000000000006,100.0,6.79575,0.321854,Café,Plaza,Hotel,Ice Cream Shop,German Restaurant
3,Nuernberg,518365,186.38,49.453872,11.077298,Bayern,43.900000000000006,100.0,19.291426,0.536538,Park,Café,Coffee Shop,Gym / Fitness Center,Bakery
4,Augsburg,295135,146.84,48.3668041,10.8986971,Bayern,43.900000000000006,100.0,33.882799,0.681013,Italian Restaurant,Steakhouse,Beer Garden,German Restaurant,Café
5,Regensburg,152610,80.7,49.0195333,12.0974869,Bayern,43.900000000000006,76.0,49.800144,0.94176,German Restaurant,Hotel,Supermarket,Café,Plaza
6,Ingolstadt,136981,133.37,48.7630165,11.4250395,Bayern,43.900000000000006,86.0,62.78243,0.644823,Supermarket,German Restaurant,Italian Restaurant,Café,Drugstore
7,Wuerzburg,127880,87.63,49.79245,9.932966,Bayern,43.900000000000006,100.0,78.198311,1.141162,Supermarket,Café,German Restaurant,Fast Food Restaurant,Drugstore
8,Fuerth,127748,63.35,49.477263,10.989616,Bayern,43.900000000000006,100.0,78.279112,1.578532,Café,German Restaurant,Park,Gym / Fitness Center,Gastropub
9,Erlangen,111962,76.95,49.5981187,11.003645,Bayern,43.900000000000006,100.0,89.316018,1.299545,German Restaurant,Italian Restaurant,Supermarket,Café,Hotel
10,Koeln,1085664,405.02,50.938361,6.959974,Nordrhein-Westfalen,42.7,100.0,9.210953,0.246901,Park,Café,Italian Restaurant,Burger Joint,Coffee Shop
11,Duesseldorf,619294,217.41,51.2254018,6.7763137,Nordrhein-Westfalen,42.7,100.0,16.147419,0.45996,Japanese Restaurant,Café,Hotel,Brewery,Italian Restaurant
12,Dortmund,587010,280.71,51.5142273,7.4652789,Nordrhein-Westfalen,42.7,100.0,17.035485,0.35624,Café,Italian Restaurant,Park,Turkish Restaurant,Plaza
13,Essen,583109,210.34,51.4582235,7.0158171,Nordrhein-Westfalen,42.7,100.0,17.149452,0.475421,Café,Italian Restaurant,Burger Joint,Ice Cream Shop,Pub
14,Duisburg,498590,232.8,51.434999,6.759562,Nordrhein-Westfalen,42.7,100.0,20.056559,0.429553,Supermarket,Drugstore,Café,Ice Cream Shop,Park
15,Bochum,364628,145.66,51.4818111,7.2196635,Nordrhein-Westfalen,42.7,100.0,27.425211,0.68653,Supermarket,Park,Bakery,German Restaurant,Gym / Fitness Center
16,Wuppertal,354382,168.39,51.264018,7.1780374,Nordrhein-Westfalen,42.7,90.0,25.396324,0.534474,Supermarket,Café,Bar,Gas Station,Clothing Store
17,Bielefeld,333786,258.82,52.0191005,8.531007,Nordrhein-Westfalen,42.7,91.0,27.262977,0.351596,Supermarket,Hotel,Train Station,Bar,Bakery
18,Bonn,327258,141.06,50.735851,7.10066,Nordrhein-Westfalen,42.7,100.0,30.556931,0.708918,Italian Restaurant,Plaza,Ice Cream Shop,Supermarket,Café
19,Muenster,314319,303.28,51.9625101,7.6251879,Nordrhein-Westfalen,42.7,100.0,31.814812,0.329728,Supermarket,Hotel,Coffee Shop,Café,Italian Restaurant
20,Moenchengladbach ,261454,170.47,51.1946983,6.4353641,Nordrhein-Westfalen,42.7,100.0,38.247646,0.586613,Supermarket,Hotel,Gym / Fitness Center,Greek Restaurant,German Restaurant
21,Gelsenkirchen,260654,104.94,51.5110321,7.0960124,Nordrhein-Westfalen,42.7,100.0,38.365036,0.952925,Drugstore,Supermarket,Park,Soccer Stadium,Gym / Fitness Center
22,Aachen,247380,160.85,50.776351,6.083862,Nordrhein-Westfalen,42.7,100.0,40.42364,0.621697,Supermarket,German Restaurant,Bar,Italian Restaurant,Plaza
23,Krefeld,227020,137.77,51.3331205,6.5623343,Nordrhein-Westfalen,42.7,100.0,44.048982,0.725847,Café,Supermarket,Drugstore,Greek Restaurant,Clothing Store
24,Oberhausen,210829,77.09,51.4696137,6.8514435,Nordrhein-Westfalen,42.7,100.0,47.431805,1.297185,Hotel,German Restaurant,Coffee Shop,Museum,Italian Restaurant
25,Hagen,188814,160.45,51.3582945,7.473296,Nordrhein-Westfalen,42.7,92.0,48.7252,0.573387,Supermarket,Bakery,Clothing Store,Hotel,Café
26,Hamm,179111,226.43,51.6804093,7.815197,Nordrhein-Westfalen,42.7,72.0,40.198536,0.317979,Supermarket,Drugstore,Ice Cream Shop,Bakery,Big Box Store
27,Leverkusen,163838,78.87,51.0324743,6.9881194,Nordrhein-Westfalen,42.7,100.0,61.035901,1.267909,Supermarket,Ice Cream Shop,Hotel,Fast Food Restaurant,Drugstore
28,Solingen,159360,89.54,51.1712468,7.0838996,Nordrhein-Westfalen,42.7,79.0,49.573293,0.882287,Supermarket,Café,German Restaurant,Drugstore,Restaurant
29,Herne,156374,51.42,51.5380394,7.219985,Nordrhein-Westfalen,42.7,100.0,63.94925,1.944769,Supermarket,Park,Greek Restaurant,Bakery,Drugstore
30,Neuss,153796,99.52,51.1981778,6.6916476,Nordrhein-Westfalen,42.7,100.0,65.021197,1.004823,Italian Restaurant,Café,Ice Cream Shop,Greek Restaurant,German Restaurant
31,Paderborn,150580,179.59,51.71895955,8.764869778177559,Nordrhein-Westfalen,42.7,88.0,58.440696,0.490005,Supermarket,German Restaurant,Hotel,Italian Restaurant,Café
32,Bottrop,117383,100.61,51.521581,6.929204,Nordrhein-Westfalen,42.7,97.0,82.635475,0.964119,Supermarket,Hotel,Clothing Store,Café,Drugstore
33,Recklinghausen,112267,66.5,51.6143815,7.1978546,Nordrhein-Westfalen,42.7,64.0,57.006957,0.962406,Supermarket,Drugstore,Café,Clothing Store,Italian Restaurant
34,Bergisch Gladbach,111966,83.09,50.9929303,7.1277379,Nordrhein-Westfalen,42.7,74.0,66.091492,0.890601,Supermarket,Drugstore,Hotel,Italian Restaurant,Hardware Store
35,Remscheid,110994,74.52,51.1798706,7.1943544,Nordrhein-Westfalen,42.7,54.0,48.651278,0.724638,Supermarket,Gas Station,Café,German Restaurant,Drugstore
36,Moers,103725,67.68,51.451283,6.62843,Nordrhein-Westfalen,42.7,56.0,53.988913,0.827423,Supermarket,Hotel,Café,Clothing Store,German Restaurant
37,Siegen,102836,114.69,50.8749804,8.0227233,Nordrhein-Westfalen,42.7,51.0,49.593528,0.444677,Supermarket,Café,Drugstore,Hotel,Clothing Store
38,Guetersloh,100194,112.02,51.9063997,8.3782078,Nordrhein-Westfalen,42.7,58.0,57.887698,0.517765,Supermarket,Hotel,Plaza,Soccer Field,Café
39,Frankfurt am Main,753056,248.31,50.1106444,8.6820917,Hessen,43.1,100.0,13.279225,0.402722,Café,Bar,Park,Burger Joint,Plaza
40,Wiesbaden,278342,203.93,50.0820384,8.2416556,Hessen,43.1,,,,,,,,
41,Kassel,201585,106.78,51.3154546,9.4924096,Hessen,43.1,100.0,49.606866,0.936505,Supermarket,German Restaurant,Café,Art Museum,Clothing Store
42,Darmstadt,159207,122.09,49.872775,8.651177,Hessen,43.1,,,,,,,,
43,Offenbach am Main,128744,44.89,50.1055002,8.7610698,Hessen,43.1,,,,,,,,
44,Stuttgart,634830,207.35,48.7784485,9.1800132,Baden-Wuerttemberg,44.6,,,,,,,,
45,Karlsruhe,313092,173.46,49.0068705,8.4034195,Baden-Wuerttemberg,44.6,100.0,31.939494,0.576502,Café,Italian Restaurant,Drugstore,German Restaurant,Bar
46,Mannheim,309370,144.96,49.489591,8.467236,Baden-Wuerttemberg,44.6,100.0,32.323755,0.689845,Café,Italian Restaurant,Park,Hotel,Burger Joint
47,Freiburg im Breisgau,230241,153.06,47.9960901,7.8494005,Baden-Wuerttemberg,44.6,100.0,43.432751,0.653339,Café,German Restaurant,Italian Restaurant,Hotel,Plaza
48,Heidelberg,160355,108.84,49.4093582,8.694724,Baden-Wuerttemberg,44.6,100.0,62.361635,0.91878,Hotel,Café,Ice Cream Shop,Supermarket,Plaza
49,Ulm,126329,118.69,48.3974003,9.9934336,Baden-Wuerttemberg,44.6,91.0,72.034133,0.766703,Supermarket,Hotel,Italian Restaurant,Café,Bar
50,Heilbronn,125960,99.88,49.142291,9.218655,Baden-Wuerttemberg,44.6,98.0,77.802477,0.981177,Supermarket,Italian Restaurant,Hotel,Café,Ice Cream Shop
51,Pforzheim,125542,98.0,48.8908846,8.7029532,Baden-Wuerttemberg,44.6,70.0,55.758232,0.714286,Supermarket,Café,German Restaurant,Hotel,Drugstore
52,Reutlingen,115966,87.06,48.4919508,9.2114144,Baden-Wuerttemberg,44.6,63.0,54.326268,0.723639,Supermarket,Italian Restaurant,Drugstore,Café,Bar
53,Leipzig,587857,297.8,51.3406321,12.3747329,Sachsen,38.400000000000006,100.0,17.01094,0.335796,Café,Hotel,Zoo Exhibit,Bar,Park
54,Dresden,554649,328.48,51.0493286,13.7381437,Sachsen,38.400000000000006,100.0,18.02942,0.304433,Hotel,German Restaurant,Plaza,Burger Joint,Vegetarian / Vegan Restaurant
55,Chemnitz,247237,221.05,50.8322608,12.9252977,Sachsen,38.400000000000006,,,,,,,,
56,Bremen,569352,325.56,53.0758196,8.8071646,Bremen,43.7,,,,,,,,
57,Bremerhaven ,113634,93.82,53.5522264,8.5865509,Bremen,43.7,49.0,43.120897,0.522277,Hotel,Supermarket,Seafood Restaurant,Restaurant,Burger Joint
58,Hannover,538068,204.14,52.3744779,9.7385532,Niedersachsen,42.099999999999994,100.0,18.585012,0.48986,Coffee Shop,Café,Park,Irish Pub,Italian Restaurant
59,Braunschweig,248292,192.18,52.2646577,10.5236066,Niedersachsen,42.099999999999994,100.0,40.27516,0.520346,Café,Park,Pizza Place,Italian Restaurant,Coffee Shop
60,Oldenburg Oldb,168210,102.99,53.1389753,8.2146017,Niedersachsen,42.099999999999994,62.0,36.858689,0.602,Café,German Restaurant,Italian Restaurant,Big Box Store,Middle Eastern Restaurant
61,Osnabrueck,164748,119.8,52.266837,8.049741,Niedersachsen,42.099999999999994,82.0,49.772987,0.684474,Supermarket,Bar,Hotel,Café,Nightclub
62,Wolfsburg,124151,204.09,52.4205588,10.7861682,Niedersachsen,42.099999999999994,59.0,47.522775,0.289088,Hotel,Supermarket,German Restaurant,Café,Steakhouse
63,Goettingen,119801,116.89,51.5327604,9.9352051,Niedersachsen,42.099999999999994,78.0,65.107971,0.667294,Café,Supermarket,Hotel,Italian Restaurant,Fast Food Restaurant
64,Salzgitter ,104948,223.92,52.1503721,10.3593147,Niedersachsen,42.099999999999994,17.0,16.198498,0.07592,Supermarket,Train Station,Ice Cream Shop,Gas Station,Fast Food Restaurant
65,Hildesheim,101990,92.18,52.1521636,9.9513046,Niedersachsen,42.099999999999994,49.0,48.043926,0.531569,Café,German Restaurant,Hotel,Gym / Fitness Center,Restaurant
66,Kiel,247548,118.65,54.3227085,10.135555,Schleswig-Holstein,41.0,96.0,38.780358,0.809102,Café,Supermarket,Gas Station,Hotel,Drugstore
67,Luebeck,217198,214.21,53.866444,10.684738,Schleswig-Holstein,41.0,100.0,46.04094,0.466832,Hotel,German Restaurant,Supermarket,Café,Seafood Restaurant
68,Halle Saale,239257,135.02,51.4825041,11.9705452,Sachsen-Anhalt,36.7,100.0,41.79606,0.740631,Supermarket,Café,German Restaurant,Hotel,Bar
69,Magdeburg,238697,201.0,52.1315889,11.6399609,Sachsen-Anhalt,36.7,100.0,41.894117,0.497512,Drugstore,Italian Restaurant,Hotel,Park,Supermarket
70,Mainz,217118,97.74,50.0012314,8.2762513,Rheinland-Pfalz,41.8,100.0,46.057904,1.023123,Café,Supermarket,Park,German Restaurant,Thai Restaurant
71,Ludwigshafen am Rhein,171061,77.55,49.4704113,8.4381568,Rheinland-Pfalz,41.8,100.0,58.458678,1.289491,Café,Italian Restaurant,Hotel,Park,German Restaurant
72,Koblenz,114024,105.13,50.3533278,7.5943951,Rheinland-Pfalz,41.8,100.0,87.700835,0.951203,Supermarket,Bakery,Hotel,German Restaurant,Pizza Place
